epoch,train_loss,val_loss,model,best_epoch,best_val_loss
1,0.25918851290708,0.010326036850788764,Transformer,8,0.0028565526008605957
2,0.0422718482820884,0.013739151081868581,Transformer,8,0.0028565526008605957
3,0.036116069425707276,0.025528364016541412,Transformer,8,0.0028565526008605957
4,0.031105001619004684,0.01480177151305335,Transformer,8,0.0028565526008605957
5,0.029429200834230236,0.01728223344045026,Transformer,8,0.0028565526008605957
6,0.030463784568659637,0.007626846765301057,Transformer,8,0.0028565526008605957
7,0.026686799510017685,0.0038680420589766334,Transformer,8,0.0028565526008605957
8,0.025966985859786688,0.0028565526008605957,Transformer,8,0.0028565526008605957
9,0.025960211095440645,0.003899811434426478,Transformer,8,0.0028565526008605957
10,0.027162395944089993,0.012904326298407145,Transformer,8,0.0028565526008605957
11,0.024374338798224926,0.006106363409864051,Transformer,8,0.0028565526008605957
12,0.024011146823835115,0.0031096117704042365,Transformer,8,0.0028565526008605957
13,0.022874072943206713,0.005637305522603648,Transformer,8,0.0028565526008605957
