epoch,train_loss,val_loss,model,best_epoch,best_val_loss
1,0.5363087605523027,0.13116200055394853,LSTM,9,0.0028148959058203866
2,0.09922588948646317,0.058438569506896396,LSTM,9,0.0028148959058203866
3,0.04815230273601154,0.03898835102362292,LSTM,9,0.0028148959058203866
4,0.03312308561947683,0.007660039035337312,LSTM,9,0.0028148959058203866
5,0.0270647000035514,0.004840969590337149,LSTM,9,0.0028148959058203866
6,0.024712793873218092,0.004370099465761866,LSTM,9,0.0028148959058203866
7,0.024695677601772804,0.0031235263782686423,LSTM,9,0.0028148959058203866
8,0.023633255673896358,0.0036559467802622487,LSTM,9,0.0028148959058203866
9,0.023000825216750734,0.0028148959058203866,LSTM,9,0.0028148959058203866
10,0.022801633053661688,0.003737716087406235,LSTM,9,0.0028148959058203866
11,0.022998965335200013,0.003720083656454725,LSTM,9,0.0028148959058203866
12,0.021245752744700596,0.0033798102023346083,LSTM,9,0.0028148959058203866
13,0.0220186684290757,0.0034641927174691644,LSTM,9,0.0028148959058203866
14,0.022095147915103513,0.003108477818646601,LSTM,9,0.0028148959058203866
