run_id,ticker,start_date,train_end,val_end,seq_length,horizon,model,mae_raw,rmse_raw,mape_raw
20260315_180055,AAPL,2015-01-01,2020-12-31,2022-12-31,60,1,Naive Baseline,1.9045349,2.6003416,0.9735453873872757
20260315_180055,AAPL,2015-01-01,2020-12-31,2022-12-31,60,1,Moving Average,3.1542625,4.0174093,1.6129475086927414
20260315_180055,AAPL,2015-01-01,2020-12-31,2022-12-31,60,1,Linear Regression,5.148966,6.856473,2.583906427025795
20260315_180055,AAPL,2015-01-01,2020-12-31,2022-12-31,60,1,LSTM,2.6037753,3.5517783,1.3127174228429794
20260315_180055,AAPL,2015-01-01,2020-12-31,2022-12-31,60,1,Transformer,2.451761,3.3914044,1.2343963608145714
