epoch,train_loss,val_loss,model,best_epoch,best_val_loss
1,0.28535233243652014,0.07337016984820366,Transformer,17,0.0026267539111099075
2,0.05784066426365272,0.05395676089184625,Transformer,17,0.0026267539111099075
3,0.04080866382497808,0.02372367081365415,Transformer,17,0.0026267539111099075
4,0.03205071085982997,0.01797674802531089,Transformer,17,0.0026267539111099075
5,0.029640814410927502,0.017965338325926235,Transformer,17,0.0026267539111099075
6,0.028666023853356423,0.013491185714623757,Transformer,17,0.0026267539111099075
7,0.02765749034512302,0.016342048267168657,Transformer,17,0.0026267539111099075
8,0.024966965935638418,0.008131288291354264,Transformer,17,0.0026267539111099075
9,0.02526761233077749,0.01122826770214098,Transformer,17,0.0026267539111099075
10,0.02528831097499832,0.01405954108174358,Transformer,17,0.0026267539111099075
11,0.025703669161252354,0.007092915974291307,Transformer,17,0.0026267539111099075
12,0.024178574145164177,0.00446142624631258,Transformer,17,0.0026267539111099075
13,0.02394636040148528,0.004203407359974725,Transformer,17,0.0026267539111099075
14,0.0245294028731144,0.004390767376337733,Transformer,17,0.0026267539111099075
15,0.023265050511564248,0.005041268088721803,Transformer,17,0.0026267539111099075
16,0.024617254774531593,0.004203639092988202,Transformer,17,0.0026267539111099075
17,0.023412937814693734,0.0026267539111099075,Transformer,17,0.0026267539111099075
18,0.023036776576191187,0.004127603539797876,Transformer,17,0.0026267539111099075
19,0.02166411653161049,0.007514882400365812,Transformer,17,0.0026267539111099075
20,0.024343627282296835,0.0031636950692960192,Transformer,17,0.0026267539111099075
